# 0x13d2
"600"	"0"	4
"800"	"0"	4
"900"	"0"	4
"1100"	"0"	6
"1200"	"0"	7
"1400"	"0"	11
"1550"	"0"	15
"1700"	"0"	16
"2000"	"0"	20
"2100"	"0"	20
"2400"	"0"	20
"2800"	"0"	23
"2900"	"0"	24
"3500"	"0"	25
"5000"	"0"	30
"6800"	"0"	35

"600"	"66"	4
"800"	"66"	4
"900"	"66"	4
"1100"	"66"	8
"1200"	"66"	12
"1400"	"66"	16
"1550"	"66"	19
"1700"	"66"	21
"2000"	"66"	25
"2100"	"66"	25
"2400"	"66"	25
"2800"	"66"	28
"2900"	"66"	29
"3500"	"66"	25
"5000"	"66"	30
"6800"	"66"	35

"600"	"131"	4
"800"	"131"	6
"900"	"131"	10
"1100"	"131"	15
"1200"	"131"	17
"1400"	"131"	22
"1550"	"131"	26
"1700"	"131"	27
"2000"	"131"	30
"2100"	"131"	30
"2400"	"131"	30
"2800"	"131"	33
"2900"	"131"	34
"3500"	"131"	25
"5000"	"131"	30
"6800"	"131"	35

"600"	"262"	4
"800"	"262"	9
"900"	"262"	14
"1100"	"262"	21
"1200"	"262"	24
"1400"	"262"	27
"1550"	"262"	32
"1700"	"262"	32
"2000"	"262"	32
"2100"	"262"	32
"2400"	"262"	32
"2800"	"262"	35
"2900"	"262"	35
"3500"	"262"	30
"5000"	"262"	30
"6800"	"262"	35

"600"	"524"	10
"800"	"524"	12
"900"	"524"	14
"1100"	"524"	21
"1200"	"524"	24
"1400"	"524"	30
"1550"	"524"	33
"1700"	"524"	33
"2000"	"524"	33
"2100"	"524"	33
"2400"	"524"	33
"2800"	"524"	35
"2900"	"524"	35
"3500"	"524"	31
"5000"	"524"	30
"6800"	"524"	34

"600"	"786"	10
"800"	"786"	14
"900"	"786"	14
"1100"	"786"	21
"1200"	"786"	24
"1400"	"786"	30
"1550"	"786"	33
"1700"	"786"	33
"2000"	"786"	33
"2100"	"786"	33
"2400"	"786"	33
"2800"	"786"	35
"2900"	"786"	35
"3500"	"786"	32
"5000"	"786"	30
"6800"	"786"	34

"600"	"1311"	10
"800"	"1311"	15
"900"	"1311"	15
"1100"	"1311"	21
"1200"	"1311"	24
"1400"	"1311"	30
"1550"	"1311"	33
"1700"	"1311"	33
"2000"	"1311"	33
"2100"	"1311"	34
"2400"	"1311"	33
"2800"	"1311"	35
"2900"	"1311"	33
"3500"	"1311"	33
"5000"	"1311"	30
"6800"	"1311"	33

"600"	"2097"	10
"800"	"2097"	15
"900"	"2097"	17
"1100"	"2097"	21
"1200"	"2097"	25
"1400"	"2097"	30
"1550"	"2097"	33
"1700"	"2097"	33
"2000"	"2097"	35
"2100"	"2097"	36
"2400"	"2097"	34
"2800"	"2097"	35
"2900"	"2097"	33
"3500"	"2097"	33
"5000"	"2097"	30
"6800"	"2097"	33

"600"	"3277"	10
"800"	"3277"	15
"900"	"3277"	17
"1100"	"3277"	23
"1200"	"3277"	27
"1400"	"3277"	31
"1550"	"3277"	33
"1700"	"3277"	35
"2000"	"3277"	36
"2100"	"3277"	37
"2400"	"3277"	35
"2800"	"3277"	35
"2900"	"3277"	33
"3500"	"3277"	33
"5000"	"3277"	30
"6800"	"3277"	32

"600"	"4981"	10
"800"	"4981"	15
"900"	"4981"	17
"1100"	"4981"	27
"1200"	"4981"	29
"1400"	"4981"	33
"1550"	"4981"	33
"1700"	"4981"	35
"2000"	"4981"	39
"2100"	"4981"	39
"2400"	"4981"	35
"2800"	"4981"	36
"2900"	"4981"	33
"3500"	"4981"	33
"5000"	"4981"	30
"6800"	"4981"	32

"600"	"6554"	15
"800"	"6554"	20
"900"	"6554"	20
"1100"	"6554"	27
"1200"	"6554"	30
"1400"	"6554"	33
"1550"	"6554"	33
"1700"	"6554"	35
"2000"	"6554"	42
"2100"	"6554"	39
"2400"	"6554"	35
"2800"	"6554"	34
"2900"	"6554"	33
"3500"	"6554"	32
"5000"	"6554"	30
"6800"	"6554"	32

"600"	"9830"	20
"800"	"9830"	20
"900"	"9830"	20
"1100"	"9830"	27
"1200"	"9830"	30
"1400"	"9830"	33
"1550"	"9830"	33
"1700"	"9830"	32
"2000"	"9830"	43
"2100"	"9830"	39
"2400"	"9830"	34
"2800"	"9830"	33
"2900"	"9830"	33
"3500"	"9830"	30
"5000"	"9830"	30
"6800"	"9830"	31

"600"	"13107"	20
"800"	"13107"	20
"900"	"13107"	20
"1100"	"13107"	27
"1200"	"13107"	32
"1400"	"13107"	33
"1550"	"13107"	33
"1700"	"13107"	30
"2000"	"13107"	43
"2100"	"13107"	38
"2400"	"13107"	33
"2800"	"13107"	33
"2900"	"13107"	33
"3500"	"13107"	30
"5000"	"13107"	30
"6800"	"13107"	31

"600"	"19661"	20
"800"	"19661"	20
"900"	"19661"	20
"1100"	"19661"	27
"1200"	"19661"	35
"1400"	"19661"	33
"1550"	"19661"	33
"1700"	"19661"	25
"2000"	"19661"	43
"2100"	"19661"	38
"2400"	"19661"	33
"2800"	"19661"	33
"2900"	"19661"	33
"3500"	"19661"	30
"5000"	"19661"	30
"6800"	"19661"	30

"600"	"26214"	20
"800"	"26214"	20
"900"	"26214"	20
"1100"	"26214"	27
"1200"	"26214"	40
"1400"	"26214"	33
"1550"	"26214"	33
"1700"	"26214"	25
"2000"	"26214"	43
"2100"	"26214"	37
"2400"	"26214"	33
"2800"	"26214"	33
"2900"	"26214"	33
"3500"	"26214"	33
"5000"	"26214"	27
"6800"	"26214"	30

"600"	"32637"	20
"800"	"32637"	20
"900"	"32637"	20
"1100"	"32637"	27
"1200"	"32637"	40
"1400"	"32637"	33
"1550"	"32637"	33
"1700"	"32637"	25
"2000"	"32637"	43
"2100"	"32637"	37
"2400"	"32637"	33
"2800"	"32637"	33
"2900"	"32637"	33
"3500"	"32637"	33
"5000"	"32637"	27
"6800"	"32637"	30
